comment,sentiment
"由于新能源发电自身的不确定性和波动性,电网调峰过程无法同时兼顾新能源并网点本地变化负荷与主电网的功率需求,造成大规模弃风弃光问题。为此,文中根据风电与光伏系统运行特点,借助储能单元充放电控制功能,提出一种联合发电系统复合控制策略,并在RTLAB环境下,依据东北某地区气象数据,搭建含改进控制策略的风光储联合出力追踪本地负荷仿真模型。仿真结果表明,文中提出的控制策略能够快速响应本地负荷变化需求,有效实现了最大化利用风光资源以及平抑出力波动。",1
"为满足风电场""无人值班、少人值守""的要求,提高美式箱变运行的安全性、可靠性及自动化程度,研究了美式箱变监控保护设计的关键问题。结合工程实际应用,归纳了3种美式箱变监控方式,详细分析了高压熔断器周围变压器油温等因素对熔断器额定电流选择的影响,提出了低压断路器保护与风机出口断路器保护配合的整定方式;在分析了箱变缺相运行时各侧电压电流情况的基础上,提出了防止箱变缺相运行的保护方案;阐述了美式箱变瓦斯保护等非电量保护的配置情况,给出了美式箱变保护跳闸完全切除故障箱变的措施。美式箱变监控保护的设计研究望为实际工程设计提供参考。",1
"文中旨在设计一种大功率电网模拟装置以满足大功率光伏并网逆变器的试验检测需求。首先,通过建立有效的拓扑结构,即通过载波移相多重化SPWM调制方式实现可控的整流输出,通过全桥逆变电路串联实现三相主电路的交流输出,实现了电网各种工况的模拟输出;其次,使用电感电流瞬时值环、输出电压瞬时值环以及电压有效值环的综合多环控制策略并基于DSP+FPGA的可编程波形发生器原理,实现了电压波形品质高、响应速度快的输出特性;再次,建立了四象限运行方式,试验过程中可直接实现能量的回馈,降低了损耗。最后,通过实验证明了该装置的可行性和正确性以及装置的低电压穿越、谐波发生、孤岛检测等特殊功能。给出的装置基本解决了电网模拟设备开关频率低、电压波形品质差、响应速度慢、耗能严重、散热困难等一系列问题,实现了并网逆变器高效、精确的测试需求。",0
"为克服现有快速接地开关受环境影响大等缺点,设计研究了一套电机直驱式操动机构。电机直驱式操动机构包括机械传动部分、电机主电路部分、用于控制的数字信号处理器(DSP)极其外围电路。电机主电路部分包括整流电路、电容储能电路、逆变电路。DSP采用TMS320F28335,其外围电路包括IGBT功率驱动板、电流采集电路、速度和位置采集电路。在MATLAB/Simulink中搭建了整个系统的控制算法,仿真结果表明设计的电机直驱式操动机构能满足FES合闸操作的要求,同时配置有该电机直驱操动机构的FES进行了特性试验,合闸速度满足参数要求,验证了该机构设计的正确性。",0
"弹簧操动机构具有结构简单、免维护、高可靠性等优点,在高压断路器中得到广泛应用,然而由于技术水平有限,现有的弹簧操动机构不能满足550 kV及以上高压断路器的要求。笔者提出了基于功能设计与虚拟样机仿真的现代设计方法,完成了一款储能时间小于15 s、合闸(含分闸)操作功为6 600 J、分闸操作功为5 200 J的弹簧操动机构的设计开发,并成功应用在550 kV SF_6断路器上。试验结果表明,开发的弹簧操动机构完全可满足550 kV SF_6断路器开断与关合的设计要求。",0
"为了降低直流系统换相失败的几率,通过对换相机理的分析,得到促进换相的因素,利用模糊控制预防控制换相失败。针对常规模糊控制精度不高,及控制规则与精度间的矛盾,提出了一种基于相平面响应轨迹特征向量法的变论域模糊预防控制方法,从而动态改变论域,修正控制规则,提高控制精度和收敛性。该方法动态监测交流电压的变化和变化率,一旦故障快速增大越前触发角,减小换相面积,抑制换相失败的发生。通过CIGRE HVDC标准模型进行了仿真研究,仿真结果验证了所提控制方法的灵敏性和准确性,能够有效地降低换相失败发生的概率。",0
"为了实现分布式电源组成的微网能以更为经济、灵活和环保的方式运行,充分发挥分布式电源的发电优势。针对微网优化调度的问题,提出以电动汽车同时作为负荷和发电单元且计及制热收益的微网多目标优化模型,以经济效益最大化、环境成本最小化作为微网多目标优化问题。应用非劣排序遗传算法NSGA-II,进行多目标优化求解,求得Pareto前端解,从而获得微网最优调度策略。通过算例验证了所提模型、策略和算法的有效性。",0
"当受端交流电网发生严重短路故障,经柔性直流并网的风电场必须降低出力,使直流输电系统的直流电压保持在安全范围内。针对永磁直驱风机经MMC-HVDC并网系统,提出一种提升其故障穿越能力的控制策略。该策略结合降低风电场交流电压和降低风机输出有功电流2种方式,可以实现风电场侧有功功率的快速降低。同时,为了在故障时限制永磁直驱风机直流链电压的增长,在风机中引入直流电压偏差控制。仿真结果表明:主网发生对称和不对称故障时,MMC直流电压和永磁同步风机直流链电压均可维持稳定,系统可以实现故障穿越。",1
"良好的接地装置是风电机组防雷的重要保证,而冲击特性是衡量风电机组接地装置电气性能优劣的重要指标。文中采用冲击大电流试验装置模拟雷电流,对风电机组典型接地装置—环形接地体及其在不同土壤环境下的改型结构进行冲击特性模拟试验。引入了冲击特性变化率的概念来定量描述冲击电流峰值对接地装置冲击接地电阻的影响,其值大小反映影响强弱,符号反映影响趋势,结合冲击特性变化率对试验数据进行对比分析,结果表明:针对上层电阻率高、下层电阻率低的土壤结构,加装深入到下层土壤的垂直接地体可显著降低接地装置的冲击接地电阻,但其冲击特性变化率由-0.36Ω/k A变化到-0.07Ω/kA;在总接地体长度不变的情况下,将环形接地体改型为环形和水平射线的组合接地体可在电流峰值一定范围内降低接地装置的冲击接地电阻,但更为显著的是接地体的冲击特性变化率变化到-0.8Ω/kA。试验结果对风电机组接地装置降阻改型及其研究工作有一定指导意义。",1
"为了解决交变热应力大范围波动会导致IGBT模块稳定性大幅下降,引起双馈风电变流器IGBT模块故障频发的问题,基于解析解理论以及不同损耗分析方法并结合双馈风电变流器实际运行特性,建立了IGBT模块功率损耗以及机侧、网侧结温稳态模型,并且分析了其在不同工况下的变化特性。结果表明,风速对机侧以及网侧变流器IGBT模块的功损耗以及结温变化特性影响较大,最终得到基于开关周期理论所建模型更加适用于分析IGBT模块结温以及损耗的精确模拟。双馈风电用机侧变流器IGBT稳态结温波动幅值随风速的增大而增大。",1
"针对光伏阵列非线性工作特性及传统MPPT控制中响应外界环境变化缓慢、最大功率点附近功率振荡现象明显等缺点,对其最大功率点跟踪算法进行分析,提出了一种模糊PI控制下扰动观察法(P&O)和恒电压控制法(CVT)相结合的双MPPT(dual maximum power point tracking MPPT)控制方法应用于光伏发电系统。通过建立模糊PI控制下的光伏发电双MPPT系统模型,构建系统控制量及变化量变化规则,设计仿真参数。仿真实验结果表明本方法在外部环境变化时能快速准确地跟踪光伏阵列最大功率点,具有良好的动态和稳态性能。",0
"为提高风电场发电功率预测的精度,提出一种基于Elman神经网络和实测风速功率数据的短期风功率预测方法。根据风速和风电功率历史数据来拟合风电机的风速功率曲线;建立基于Elman神经网络的短期风功率预测模型,并利用遗传算法对网络参数进行优化。最后,将文中预测模型应用到实测数据验证模型的有效性,结果表明了模型的先进性。",1
"为满足产品的节能设计需求,根据现有高压开关用液压操动机构的具体结构和工作过程,分析出其能量损耗的主要原因为负载匹配损失、控制元件压力损失、执行元件压力损失、传动和摩擦损失,提出了几种节能措施,如回收缓冲能、选择合理的负载匹配、改进控制阀结构、减小传动损失等,重点阐述了缓冲能的回收方案,变被动消耗为主动储能,达到了节能的目的,为液压操动机构的节能设计提供技术参考。",0
"为验证大功率光伏逆变器的性能及并网安全性,文中提出了一种大功率回馈型光伏逆变器测试平台。该测试平台在实现能量双向流动的同时,解决了大功率设备的网侧谐波和无功污染问题。测试平台主要由光伏模拟源、电源模拟源及一体化监控系统组成。光伏模拟源可模拟光伏阵列的输出特性;电网模拟源可模拟电网正常及故障特性,并能够满足并网设备的零(低)电压穿越。一体化监控系统自动执行预定的试验流程,如效率测试、MPPT测试、电压不平衡测试等。通过实验验证,该测试系统具有较完善的实验功能、优越的性能指标以及较低的功率损耗,能够满足大功率光伏逆变器的测试需求。",0
"为了使风电机组/风电场与电网之间能够和谐稳定高效的运行,笔者在通过对电网电压骤升时风电机组的暂态分析,提出了采用静止同步补偿器STATCOM实现双馈风电机组高电压穿越的方案。在电网电压骤升的情况下,通过STATCOM控制策略吸收电网容性无功并补偿感性无功支撑系统运行不脱网。在MATLAB/Simulink仿真平台上搭建仿真模型并进行仿真,仿真结果表明,当电网电压骤升时STATCOM不仅能确保风电机组不脱网运行还能及时向故障电网提供一定的感性无功,协助电网电压快速恢复。",1
"文中详细分析了LCL滤波器的特点,其在谐振频率处存在谐振尖峰,利用电容电流反馈可有效抑制谐振尖峰。分析比较了不同控制器的特点,其中准PR控制器在静止坐标系下就可以实现对交流量的调节控制,并且对谐波的抑制能力较强,在不平衡电网情况下仍有很好的鲁棒性,因此文中提出了采用准PR控制器的电流双闭环控制策略。将电流双闭环控制与最大功率跟踪环节相结合,使得太阳能得到最大限度利用,同时保证了并网逆变器的功能要求。最后,利用MATLAB/Simulink搭建系统仿真模型,仿真结果证明了控制策略的有效性和正确性。",0
"针对现有光伏功率预测系统存在预测误差大的问题,文中结合实际工程经验,提出一种基于历史数据纵向匹配的功率预测方法。通过对电站历史数据进行预处理,排除失真数据,以时间和气象预测数据为条件对历史数据进行纵向查询,纵向匹配出预测日的光辐射系数曲线、功率输出综合系数曲线,实现对未来几小时或几天的功率预测。仿真实验与电站实际应用表明:该方法预测误差小,简单实用,有实际推广意义。",0
"针对中国西北地区新能源电能大量富余,""弃风""、""弃光""现象严重,消纳矛盾突出的现状,笔者在发电权市场交易理论的基础上,梳理出考虑新能源消纳的跨省跨区发电权交易能够实施的前提条件、双边/多边交易流程和市场交易模式,并对考虑新能源消纳的跨省跨区发电权交易机理和原则进行了分析,建立了基于煤耗量和污染物排放最小的交易收益模型。最后以甘肃和湖北两地的模拟交易为例进行计算,结果表明,考虑新能源消纳的跨省跨区发电权交易是一种新颖而有效的交易模式,在解决新能源电能富余及消纳问题方面可以发挥积极有效的作用,并对未来远距离发电权交易具有重要理论和实践意义。",0
"自愈式电容器具有无油、低噪声和储能密度高等优点,尤其适合于城市和清洁能源应用场合。为了获得自愈式电容器在运行情况下的温度场分布,在Fluent 15.0中建立了自愈式电力电容器承受400 V交流电压,环境温度为55°C情况下的温度场计算模型;采用有限体积法计算获得了其外壳和内部心子等的温度场分布并对计算结果进行了系统分析。计算结果表明:外壳最高温度在大侧面,大侧面温度高于小侧面。外壳和心子的平均温升分别为3°C和5°C左右,心子温度比外壳温度高2~3°C。分析了元件直径/数量和排布方式对电容器温升的影响并对元件直径和布置方式的选择提出了建议。该工作为自愈式电力电容器运行甚至电容器的优化提供了参考。",0
"文中介绍一种新型全固态组合式陆地电火花震源。该陆地电火花震源由4台子震源组成。每台子震源采用半导体器件可控硅代替传统的三电极气体开关做放电开关,利用限流电感控制放电电流的峰值和上升时间,采用续流二极管抑制反向振荡的放电电流。通过改变放电电流波形,可以适当地改变电声转换的频谱特性。电声换能器采用的是同轴平行式电弧放电电极结构。每台子震源工作电压7 500 V时,储能为28 k J,总震源储能为112 k J。4台子震源可以同步放电或延迟放电。在河北衡水武强县进行了一次野外实验,结合地震波反射剖面和当地的地质地层数据分析得出该类型的陆地电火花震源激发的地震波勘探深度可达2 000 m以上。",0
"为了识别高压断路器故障模式并提取其故障特征,文中以ZNY1-10(6)/630-12.5型高压断路器永磁操作机构为研究对象,分析了断路器分合闸时操作机构的动作过程,在此基础上模拟了操作机构供电电压异常、分合闸线圈老化、触头及连杆机构卡涩、储能电容故障、辅助开关失效5种常见故障,选择控制回路中分合闸线圈电流和电容电压做为监测信号,确定并提取了对应特征量。提出了一种基于模糊理论的断路器故障特征提取算法,获得了故障与特征量变化的对应关系,实现对故障的区分、归类并达到辨识的目的,为高压断路器故障诊断及寿命评估提供了判断依据。",0
"针对高压设备无线测温装置供电困难问题,设计了一种由低压侧LED光源供电的新型温度在线监测系统。系统使用LED所产生的光能经太阳能电池光电转换后为高压侧无线测温装置供电,以保证其可靠运行。设计了LED两级可PWM调光恒流驱动电路,为LED提供了恒定电流的同时保证了输入端高功率因数。无线测温装置利用热敏电阻PT1000采集温度信号,并通过ANT无线模块进行数据传输,兼具高精度测量和低功耗优势。实验测得无线测温装置在3.3 V供电电压下的平均消耗电流约7.24 m A,驱动电路在满PWM占空比下输出电流为584 m A,在70%PWM占空比下的工作状态为兼顾高压侧电路可靠运行与节约电能的最佳状态。",0
"文中以合闸过程中燃弧时间最短为目标,提出了设计高电压等级真空断路器凸轮轮廓的方法。首先,通过实验确定合闸速度特性。得到126 kV真空断路器合闸燃弧时间与预击穿速度的数学关系,表明在预击穿速度为1.15 m/s时,126 kV真空断路器的合闸燃弧时间最短;其次,由上述方法得到真空断路器合闸行程曲线确定凸轮轮廓线。根据合闸行程曲线上每个点确定弹簧操动机构主轴转角,并根据合闸弹簧所需要的能量确定机构储能轴转角,然后由主轴转角与储能轴转角的比值确定凸轮的轮廓曲线。最后,根据上述凸轮轮廓设计方法编制了凸轮设计软件,利用该软件设计的凸轮在ADAMS仿真软件中对整机进行仿真计算,仿真结果得到预击穿速度为1.18 m/s,表明此设计能很好的满足设计要求。",0
"电磁斥力机构应用于40.5 kV真空断路器可以提高其开断速度,从而提高电力系统稳定性。文中选取励磁线圈匝数、储能电容量和充电电压这3个主要参数进行综合优化研究,旨在确定40.5 kV真空断路器中电磁斥力机构储能电容能量最小的参数设计方案。对3个试验因素设立3个水平,采用正交试验设计的方法安排9次试验,并建立有限元模型进行数值模拟试验,然后对试验结果进行回归分析和优化。研究结果表明,对于斥力盘的运动特性,充电电压影响最显著,储能电容量次之,励磁线圈匝数最弱。斥力盘运动平均速度与3个设计参数间的回归方程为v=-10.583+0.071N+0.018U+0.169C。最后,确定了参数设计方案,在充电电压600 V,储能电容20 m F,线圈20匝时,储能电容能量最小为3.6 k J。",0
"文中分析微网中微电源包括光伏发电、风力发电、微燃机、柴油发电机和燃料电池的电气特性,构建微电网优化运行的模型,以微网的经济成本和环境成本最小为目标函数,充分考虑了电压越限、功率平衡、微电源出力限制等约束条件,应用鸡群算法进行求解。解决了粒子群算法易早熟、易陷入局部最优解的问题。并通过典型的微网系统进行仿真分析,仿真结果验证了该算法的有效性。",0
"为了了解大电网末端风电机组故障穿越特性,文中分析了高渗透率风力发电大电网末端电网特性及风机运行特性。结合相应的检测标准及要求,探讨了大电网末端风电并网出现的故障特性,研究了直驱及双馈风电机组故障穿越关键技术及控制策略;结合仿真及实际检测,研究了大电网末端直驱风力发电机高电压穿越能力、双馈机组低电压穿越的可行性,提出了风电机组故障穿越的隐患,为大电网稳定运行提供了依据。",1
"随着中国风力发电的比重及机组容量的不断增大,机组一旦发生故障,不仅影响风电场自身的安全,而且对电网的稳定运行造成重大影响。故障分析与智能诊断技术是降低大型风力发电机组故障率与运维费用的主要手段之一。文中详细分析了风力发电机组主要部件的故障,在对风力发电机组状态监测和故障诊断技术深入研究的基础上,提出了基于小波包和BP神经网络的智能诊断方法,以此开发了风力发电机组状态监测与故障诊断系统,通过系统在大型风力发电场的成功应用,验证了其对风电机组故障诊断的有效性。",1
"超级电容器因其功率密度大、质量轻、无污染、可多次充放电等优点而成为一种新型的储能装置,目前,超级电容器的应用范围也不断拓展,在工业、消费电子、通讯、医疗器械、国防、军事装备、交通等领域得到越来越广泛的应用。从小容量的特殊储能到大规模的电力储能,从单独储能到与蓄电池或燃料电池组成的混合储能,超级电容器都展示出了独特的优越性。随着输电系统整体结构的不断变化,其应用范围从电子产品",0
"针对风电场建立多机等值模型时等效风机数目不确定的问题,通过分析风电机组的运行机理,以风机的实际参数为聚类指标,引入轮廓系数计算不同等值数目时的轮廓值,选择最优的聚类数目,运用改进分裂H-K聚类算法进行聚类。在MATLAB平台上建立风电场详细模型和聚类模型,在两种风速模式下分析两种模型输出的有功功率和无功功率曲线,结果表明两种模型曲线在同时间点上相对误差率很小,提高了模型精度。文中提出的方法可以运用于风电场的多机等值建模,能够比较准确地反映风电场的动态响应特性。",1
"基于双馈的风力发电场送出线路发生故障时,风力发电机的短路电流的特性与常规电力系统短路电流特性有明显的差别,主要表现在短路电流可能非工频,这种特性使得利用工频傅式算法进行信号的基频相量的提取和计算不正确。为了深入分析双馈风电场短路电流的这种特性,文中将结合双馈风电场的等效电路,从理论上分析送出线路故障时,风电场侧电流、电压的频率主要成分,并通过频谱分析进行验证。根据风电场侧电流、电压的频率不一致的特性,在PSCAD中仿真分析该种特性对送出线路上传统距离保护的影响。通过对某地区风电场仿真的实验结果可知,短路电流偏移工频,使得基于傅里叶工频算法的传统距离保护不能准确地测得阻抗,从而造成距离元件的误动作。",1
"根据直流微电网的结构以及运行特点,分析了直流微电网中分布式发电单元和混合储能单元的控制策略。针对直流微电网中由于分布式发电单元输出功率的不稳定以及负载突变造成的直流母线电压波动问题,提出了一种基于直流微电源模块和混合储能模块的协同能量管理策略。该控制策略以直流母线电压为信号对混合储能模块的充放电模式进行控制。同时也搭建了含光伏微源单元和混合储能单元的仿真模型,通过MATLAB/Simulik仿真软件对混合储能的能流切换模式进行仿真,结果表明该策略在负荷波动或者光伏单元输出功率不稳定情况下直流母线电压的相对稳定性,验证了该策略的正确性和可行性。",0
"针对并网风力发电机组性能分析评估中存在大量定性指标、各指标模糊性和随机性并存的问题,提出了基于云重心评判法的并网风电机组性能分析评估模型。首先从技术参数、整体功能、系统可靠性及机组维修性4个层面分析并构建了风电机组性能分析综合评价指标体系。然后将各指标值转化为云模型并确定各个指标的权重值。最后计算出修正的加权偏离度,将其输入定性评判云发生器得到风电机组性能评估结果。运用所提方法对某型风力发电机组性能进行分析,并与模糊综合评判法进行比较,验证了该模型的优越性和有效性。",1
"采用小波变换(wavelet transform,WT)和相关向量机(relevance vector machine,RVM)结合的方法对风电场发电功率短期预测进行研究。先利用小波变换将信号分解为不同频率的子序列,提取出风速中的低频趋势分量和高频波动分量;再结合风向和温度数据,运用RVM在不同分量上分别进行预测,并通过重构得到功率的预测结果。此方法应用于国内某风电场,仿真结果表明,通过小波分析能够把握风速变换规律,RVM预测法有较强的学习能力,小波—相关向量机法有效提高了预测精度,表明了该方法的可行性。",1
"风力发电系统中的转速传感器常常会带来一些不利的影响。文中介绍了一种双馈风力发电机的无速度传感器的控制方法,利用风电机组转动惯量大,速度变化慢的特点,通过测量转子的感应电动势,控制转子侧变流器给转子注入相应频率与相位的电流,从而控制电机的转矩与无功。文中推导了电机的控制方程式,给出了控制框图。通过仿真与实验,验证了该方法可以用于双馈风力发电机的控制。",1
"储能系统(ESS)在微电网中的应用可以提高网络的供电可靠性和经济效益。在孤岛运行方式下,多个储能单元在微电网内的合理使用,能够优化微电网内的功率流动,从而实现微电网的经济性运行。文中基于多代理系统控制模型,研究了在孤岛运行方式下的含多储能单元的微电网内各分布式能源(DER)及负荷的动态博弈模型,考虑电量电价弹性产生的负荷需求响应,建立了基于风险成本的Agent电量投标模型和基于VRE强化学习算法的电价投标决策,最后在多代理仿真平台上加入以上模型和方法,通过对比分析验证了模型的有效性,同时实现了微电网和DER的经济性优化。",0
"为了解决农网低电压问题,对线路调压器的调压特性进行了研究。建立了含线路调压器的数学模型,分析了恒功率负载时调压器的调压特性,研究了影响调压特性的因素,包括调压器容量、调压档位、负荷功率因数、线路长度、导线型号,提出了移动式储能装置与调压器联合使用治理低电压的措施。研究结果表明:调压器容量和档位、线路长度和型号以及负荷的功率因数对调压器的调压特性有影响,而移动式储能装置与调压器联合使用则能有效提高调压器调节。",0
"为了对断路器操动机构的分、合闸弹簧(简称弹簧)储能状态进行评估,将模糊综合评判应用到高压断路器的弹簧状态评估中。选取反映断路器弹簧储能状态的典型特征参量,建立评判因素集;根据断路器弹簧的实际状态情况,建立评判等级集;采用专家估计法与层次分析法,建立评判的权重集;构建隶属函数描述评估因素与状态等级间的模糊关系,确定模糊算子及结果处理方法,进而完成整个模型用以对断路器弹簧状态进行综合评估。LW25-126型断路器上的实例验证表明,该模型可以客观有效地评估高压断路器弹簧的储能状态。",0
"为了克服组串式光伏系统在部分遮挡条件下无法向外输出最大功率的问题,以准Z源逆变器为光伏逆变的基础拓扑,用模块化级联式多电平光伏逆变器结构,构建了一套可实现模块级最大功率点跟踪的光伏并网系统。与传统DC—DC级联DC—AC的光伏逆变器结构相比具有有源器件少、能量转换级数低、可靠性高等优点。文中阐述了基于准Z源逆变器的级联式多电平光伏并网系统的工作原理,并给出闭环控制策略,提出采用功率电流双闭环结构实现准Z源多电平逆变器并网控制,通过功率控制环保证准Z源网络直流侧电压恒定,电流控制环用于控制入网电流波形,减小并网谐波电流,提升并网质量。仿真结果验证了所述控制方法的有效性。",0
"随着风能资源的不断开发与利用,电力系统中风电比例也逐渐增大,现阶段绝大部分风电机组尤其是PMSG不具备在系统频率振荡时向系统注入阻尼功率的能力,因此大规模PMSG风电场的接入将削弱系统相对惯性和阻尼特性。针对该问题,提出通过控制电力电子器件建立风机与系统的耦合关系,使PMSG虚拟出与同步发电机类似的惯性响应,同时附加PSS控制器使PMSG能够在电网故障振荡时提供功率支持,从而提高区域电网稳定性。最后,在四机两区域系统中进行了时域仿真,验证了该方法具有改善高风电渗透率区域电网的系统惯性,提高系统阻尼比,增强电力系统抑制低频振荡的能力。",1
"针对多馈入直流系统故障后难以快速恢复的问题,提出了一种基于模糊理论,并融合多馈入直流特性的自适应变结构VDCOL控制策略。该控制方法将模糊控制的非线性特性与VDCOL控制机理有效结合,同时将多条直流自身的强度和相互作用考虑在内,根据电压大小及其恢复水平对直流电流进行动态控制,协调系统的电压和功率恢复。仿真结果表明:该控制方法能够有效控制恢复期间的无功需求,抑制后续换相失败发生,加快系统的恢复,保证系统的安全稳定运行。",0
"由于大规模风电场的复杂性,对风电场的每台风电机组建立详细的模型将大大增加仿真的计算量,因此需要对风电场进行等值化简。在分析了风电场风电机组之间尾流效应、海拔高度、空间遮挡和机组停运等相互作用的基础上,推导出能够表征风电机组空间相关性的相关性系数,并以此为分群指标运用K-means聚类算法对风电机组进行分群。K-means聚类算法需要事先给出聚类个数,针对此问题对K-means聚类方法进行了改进,提出了有效性指标来确定最优分群数,并给出了等值模型的参数计算方法,得到了风电场的多机等值模型。通过算例仿真表明,该方法具有较高的精度,对K-means方法的改进也具有一定的有效性。",1
"随着户用分布式发电系统的发展,传统集中式光伏发电系统因系统局部问题导致的效率大幅降低问题进一步凸显。为了进一步提升分布式发电系统的整体效率,文中提出了一种基于推挽正激升压变换器的微逆变并网装置,针对微逆变并网装置的双级式功率主拓扑结构进行了深入的分析与探讨,并给出了其关键元器件的设计方法。最后,引入双级式光伏发电系统功率主拓扑结构,在PSIM6.0上进行了仿真,验证了文中所提出的拓扑的有效性与先进性。",0
